Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,48.25,47.03125,48.03125,47.1875,2173400.0,27.29248809814453
2000-01-04,47.40625,45.3125,46.4375,45.3125,2713800.0,26.208023071289062
2000-01-05,48.125,45.5625,45.5625,46.625,3699400.0,26.96714973449707
2000-01-06,51.25,47.15625,47.15625,50.375,5975800.0,29.136089324951172
2000-01-07,51.90625,49.96875,50.5625,51.375,4101200.0,29.7144832611084
2000-01-10,51.75,50.0,50.21875,51.125,3863800.0,29.569894790649414
2000-01-11,51.25,50.25,50.375,50.25,2357600.0,29.063783645629883
2000-01-12,51.8125,50.375,50.96875,50.375,2868400.0,29.136089324951172
2000-01-13,50.9375,50.1875,50.65625,50.375,2244400.0,29.136089324951172
2000-01-14,50.46875,49.46875,50.375,49.65625,2541800.0,28.720378875732422
2000-01-18,49.625,48.5625,48.625,48.5625,2114800.0,28.0877742767334
2000-01-19,49.96875,48.875,48.875,49.40625,2628200.0,28.575786590576172
2000-01-20,49.6875,47.25,49.53125,47.5625,3104600.0,27.50938606262207
2000-01-21,48.28125,47.28125,47.625,47.46875,4491800.0,27.455177307128906
2000-01-24,47.90625,45.8125,47.90625,46.375,2971000.0,26.822566986083984
2000-01-25,47.4375,45.125,47.4375,45.6875,3691200.0,26.42491912841797
2000-01-26,48.75,47.65625,47.9375,48.15625,7020800.0,27.852798461914062
2000-01-27,49.15625,48.03125,48.59375,48.125,2914800.0,27.834732055664062
2000-01-28,47.90625,46.125,47.875,46.125,3747400.0,26.677955627441406
2000-01-31,48.6875,46.03125,46.125,46.8125,3282800.0,27.075584411621094
2000-02-01,48.09375,46.875,47.1875,47.0625,2642200.0,27.220186233520508
2000-02-02,47.0,46.0,46.59375,46.25,2924200.0,26.75025177001953
2000-02-03,46.0625,45.0,45.96875,45.84375,3520600.0,26.515295028686523
2000-02-04,46.21875,44.53125,45.96875,44.53125,3293400.0,25.756160736083984
2000-02-07,44.6875,43.3125,44.625,43.8125,3935400.0,25.3404541015625
2000-02-08,45.09375,43.71875,43.8125,43.84375,2884000.0,25.3585205078125
2000-02-09,44.5,43.75,44.3125,43.8125,2600400.0,25.3404541015625
2000-02-10,43.625,42.65625,43.625,43.0,4020000.0,24.870521545410156
2000-02-11,43.25,40.65625,42.6875,41.46875,4491600.0,23.984861373901367
2000-02-14,42.375,41.1875,41.625,41.4375,3356400.0,23.966779708862305
2000-02-15,45.28125,41.75,41.875,44.5625,3736000.0,25.774240493774414
2000-02-16,45.1875,43.78125,44.1875,44.15625,2581800.0,25.539276123046875
2000-02-17,45.9375,44.46875,44.5,44.8125,3405400.0,25.918832778930664
2000-02-18,45.34375,43.1875,44.9375,43.78125,2864200.0,25.322372436523438
2000-02-22,45.21875,43.25,43.875,45.0625,2884600.0,26.063425064086914
2000-02-23,46.96875,45.40625,45.6875,46.15625,4460800.0,27.04412841796875
2000-02-24,46.0625,44.78125,45.9375,45.5,3800200.0,26.659605026245117
2000-02-25,44.65625,42.59375,44.0625,42.875,3627200.0,25.121545791625977
2000-02-28,44.4375,42.5,43.46875,43.21875,3076600.0,25.32296371459961
2000-02-29,44.59375,42.3125,42.65625,44.09375,2765400.0,25.835647583007812
2000-03-01,43.875,42.53125,43.59375,43.0625,2891600.0,25.231414794921875
2000-03-02,43.875,42.84375,43.0625,43.03125,2186000.0,25.213106155395508
2000-03-03,47.3125,43.75,43.875,44.75,4581000.0,26.220151901245117
2000-03-06,45.625,43.625,44.65625,43.625,2052600.0,25.561004638671875
2000-03-07,44.4375,41.0,44.125,41.375,5195600.0,24.24266242980957
2000-03-08,42.125,40.5,41.4375,41.28125,4693200.0,24.187732696533203
2000-03-09,40.96875,40.25,40.40625,40.46875,3258200.0,23.711669921875
2000-03-10,41.34375,40.1875,40.3125,40.75,5751600.0,23.876461029052734
2000-03-13,40.25,39.375,39.5,39.5,3787800.0,23.144060134887695
2000-03-14,40.0,39.28125,39.59375,39.5625,3156600.0,23.18067741394043
2000-03-15,41.875,39.09375,39.09375,41.25,4240000.0,24.16942596435547
2000-03-16,44.625,41.96875,42.375,44.03125,4804800.0,25.799028396606445
2000-03-17,44.59375,42.9375,43.46875,42.9375,4068200.0,25.158172607421875
2000-03-20,43.90625,42.6875,42.96875,43.5,2727600.0,25.487756729125977
2000-03-21,45.75,43.28125,43.40625,45.21875,3827600.0,26.494810104370117
2000-03-22,44.6875,42.5,44.5,43.0,4404800.0,25.194799423217773
2000-03-23,43.625,42.375,42.375,43.5,4972000.0,25.487756729125977
2000-03-24,46.625,44.84375,45.0,45.4375,5925000.0,26.622983932495117
2000-03-27,45.96875,44.0625,45.46875,44.3125,3254200.0,25.963825225830078
2000-03-28,45.28125,43.8125,44.0,44.4375,2448000.0,26.037059783935547
2000-03-29,44.5,43.6875,44.5,43.8125,3280800.0,25.67086410522461
2000-03-30,45.875,43.8125,44.03125,44.5,3155800.0,26.073684692382812
2000-03-31,46.0,44.28125,45.1875,44.28125,2459200.0,25.945507049560547
2000-04-03,46.1875,44.625,44.6875,45.9375,2871400.0,26.915950775146484
2000-04-04,47.78125,44.75,46.0,46.46875,4841000.0,27.227209091186523
2000-04-05,47.40625,45.53125,46.4375,45.5625,2875800.0,26.69622230529785
2000-04-06,47.4375,45.65625,45.65625,46.6875,1756400.0,27.35540199279785
2000-04-07,47.5625,45.8125,46.8125,45.8125,2501200.0,26.842710494995117
2000-04-10,47.4375,45.875,45.9375,46.375,2110600.0,27.172286987304688
2000-04-11,48.53125,46.375,46.375,47.71875,2952200.0,27.959630966186523
2000-04-12,49.15625,47.3125,48.65625,47.3125,2454600.0,27.721601486206055
2000-04-13,48.1875,45.875,47.3125,47.375,4152200.0,27.75821304321289
2000-04-14,47.15625,44.15625,47.03125,45.40625,6141600.0,26.60468864440918
2000-04-17,45.28125,44.03125,44.59375,44.9375,2893600.0,26.33002281188965
2000-04-18,45.0625,44.0,45.0625,44.9375,2419200.0,26.33002281188965
2000-04-19,45.9375,44.5625,44.8125,45.21875,1665200.0,26.494810104370117
2000-04-20,46.15625,45.0,45.21875,46.125,1983800.0,27.02580451965332
2000-04-24,48.8125,45.625,45.625,48.6875,3558200.0,28.52724838256836
2000-04-25,48.15625,44.25,48.0625,46.90625,9044200.0,27.483583450317383
2000-04-26,46.75,43.6875,46.75,44.46875,6956600.0,26.055362701416016
2000-04-27,44.9375,42.65625,44.25,43.71875,4835200.0,25.615917205810547
2000-04-28,43.78125,43.0,43.71875,43.3125,2947000.0,25.377891540527344
2000-05-01,44.28125,42.53125,43.34375,43.46875,3476400.0,25.469440460205078
2000-05-02,43.78125,42.8125,43.0,43.46875,2459200.0,25.469440460205078
2000-05-03,44.125,42.65625,43.46875,42.90625,2445200.0,25.13985824584961
2000-05-04,43.84375,42.375,43.09375,42.71875,2766200.0,25.030012130737305
2000-05-05,43.625,42.40625,42.59375,43.34375,2376400.0,25.396202087402344
2000-05-08,43.875,42.75,43.875,43.65625,1760000.0,25.579315185546875
2000-05-09,43.9375,42.75,43.5,43.0,1949200.0,25.194799423217773
2000-05-10,43.25,42.40625,43.125,42.96875,1998400.0,25.176490783691406
2000-05-11,43.4375,42.78125,43.15625,42.96875,2347400.0,25.176490783691406
2000-05-12,43.0,42.25,42.625,42.4375,1838400.0,24.865211486816406
2000-05-15,43.46875,42.65625,42.6875,42.96875,2635000.0,25.176490783691406
2000-05-16,45.65625,42.78125,43.09375,45.03125,4051400.0,26.384952545166016
2000-05-17,44.5625,43.8125,44.1875,44.0,2193000.0,26.117107391357422
2000-05-18,44.3125,43.5,44.09375,43.53125,1599600.0,25.83887481689453
2000-05-19,43.3125,41.875,43.09375,42.25,2749400.0,25.078369140625
2000-05-22,42.6875,41.6875,42.375,42.09375,2568600.0,24.98560905456543
2000-05-23,42.34375,41.625,42.09375,42.0625,1528400.0,24.96705436706543
2000-05-24,44.375,42.5,42.5,44.09375,3241000.0,26.172754287719727
2000-05-25,44.125,42.0,43.65625,42.46875,2512800.0,25.208200454711914
2000-05-26,43.1875,42.0,42.59375,42.0,1784600.0,24.929973602294922
2000-05-30,43.28125,42.21875,42.3125,42.5625,1573200.0,25.263851165771484
2000-05-31,43.65625,42.875,43.0625,42.875,2137000.0,25.44933319091797
2000-06-01,43.03125,42.1875,43.03125,42.4375,2034000.0,25.189659118652344
2000-06-02,43.375,42.0,43.25,42.15625,3331600.0,25.022706985473633
2000-06-05,42.53125,42.0625,42.3125,42.53125,2704600.0,25.245304107666016
2000-06-06,42.5,41.03125,42.5,41.15625,3139200.0,24.429141998291016
2000-06-07,41.59375,40.75,41.15625,40.875,3176600.0,24.26219940185547
2000-06-08,41.0,40.21875,40.96875,40.875,2483200.0,24.26219940185547
2000-06-09,41.09375,40.59375,40.96875,40.96875,2146200.0,24.317842483520508
2000-06-12,41.90625,40.9375,41.0,40.98434829711914,2021400.0,24.327098846435547
2000-06-13,41.65625,40.8125,40.8125,40.9375,2151200.0,24.299278259277344
2000-06-14,42.46875,41.75,42.0,42.09375,2748600.0,24.98560905456543
2000-06-15,43.6875,42.125,42.15625,43.21875,4171400.0,25.65338134765625
2000-06-16,43.21875,42.21875,43.21875,42.21875,3842800.0,25.059804916381836
2000-06-19,42.75,41.46875,42.4375,41.75,2423400.0,24.781572341918945
2000-06-20,42.5,40.53125,41.8125,41.09375,2799400.0,24.392038345336914
2000-06-21,43.25,42.03125,42.25,43.125,3272600.0,25.597728729248047
2000-06-22,43.875,42.46875,43.15625,43.03125,2798200.0,25.542085647583008
2000-06-23,42.4375,42.03125,42.4375,42.21875,1579600.0,25.059804916381836
2000-06-26,42.96875,42.15625,42.1875,42.75,2224800.0,25.37514305114746
2000-06-27,43.9375,43.09375,43.25,43.3125,3072800.0,25.709020614624023
2000-06-28,43.4375,42.71875,43.34375,43.0390510559082,2110400.0,25.546728134155273
2000-06-29,43.40625,42.09375,42.25,42.78125,2552800.0,25.39369773864746
2000-06-30,43.0,41.242149353027344,42.65625,41.5,3603600.0,24.633180618286133
2000-07-03,42.1875,41.5,41.5,42.03125,1629400.0,24.94852066040039
2000-07-05,44.6875,42.4375,42.96875,44.25,3385400.0,26.265491485595703
2000-07-06,44.0625,43.25,43.71875,43.28125,2555800.0,25.690475463867188
